pair,date,high,low,open,close,volume
USDT_BTC,1608955200,24920,24745.41,24909.8,24810.06,59260163.47
USDT_BTC,1608958800,24843.44,24661.3,24810.06,24708.87,68879362.66
USDT_BTC,1608962400,24868.98,24652.54,24708.87,24830.66,41833717.61
USDT_BTC,1608966000,24933,24715.91,24830.66,24784.48,40617726.1
USDT_BTC,1608969600,25000,24754.16,24784.48,24901.36,62074666.01
USDT_BTC,1608973200,24914.81,24725,24901.36,24859.36,61722654.75
USDT_BTC,1608976800,24899.1,24562.5,24859.36,24732.06,67440667.04
USDT_BTC,1608980400,24887.17,24706.16,24730.4,24834.36,54073534.22
USDT_BTC,1608984000,24948.7,24734.94,24834.36,24892.05,57434088.35
USDT_BTC,1608987600,24987.34,24809.49,24892.06,24942.42,67824062.5
USDT_BTC,1608991200,25434.03,24882.55,24942.42,25381.12,188242572.5
USDT_BTC,1608994800,25673.52,25339.18,25381.2,25629.99,170725174.4
USDT_BTC,1608998400,25945.01,25575,25629.99,25864.61,213062170.8
USDT_BTC,1609002000,26000,25674.87,25864.62,25789.84,145249333.5
USDT_BTC,1609005600,25859,25580.58,25789.84,25619.24,74026503.23
USDT_BTC,1609009200,25932.25,25590,25619.24,25931.02,74809632.18
USDT_BTC,1609012800,26485,25810.56,25931.02,26417.3,181507467.1
USDT_BTC,1609016400,26867.03,26332.57,26417.3,26702.19,268363789.6
USDT_BTC,1609020000,26799.8,25842,26702.18,26413.43,168416418.6
USDT_BTC,1609023600,26660,26362.26,26413.42,26493.39,90663068.31
USDT_BTC,1609027200,26850,26488.41,26493.4,26759.35,142279124.7
USDT_BTC,1609030800,26963.46,26503.87,26759.35,26619.73,165304656.1
USDT_BTC,1609034400,26859.5,26500,26619.14,26573.9,131022124
USDT_BTC,1609038000,26649.5,26427.16,26573.9,26568.08,77585482.07
USDT_BTC,1609041600,26839.84,26567.81,26568.24,26744.76,72926527.17
USDT_BTC,1609045200,26939.98,26705.13,26744.76,26889.94,70595636.77
USDT_BTC,1609048800,27750,26886.47,26889.94,27635.28,263131264
USDT_BTC,1609052400,27777.82,27453.53,27635.28,27639.38,141360254.6
USDT_BTC,1609056000,27935.4,27310,27639.39,27457,219162622.6
USDT_BTC,1609059600,27855,27200.02,27460.52,27818.18,183279646.6
USDT_BTC,1609063200,27893.5,27687.13,27818.18,27822.16,91697271.11
USDT_BTC,1609066800,28422,26566,27822.17,27646.48,441315577.5
USDT_BTC,1609070400,27648.75,26600,27647.55,27205.48,341673812.2
USDT_BTC,1609074000,27597.19,27060,27205.47,27519.48,158588685.7
USDT_BTC,1609077600,27777,27232.45,27519.48,27335.65,196868080.2
USDT_BTC,1609081200,27480,27000,27334.47,27359.62,162690522.9
USDT_BTC,1609084800,27490,26600,27360.09,27089.44,252535713.3
USDT_BTC,1609088400,27089.55,26677,27089.45,26801.35,143067570
USDT_BTC,1609092000,27070.01,26600,26803.49,27061.41,114153292.2
USDT_BTC,1609095600,27296.28,26987.84,27062.67,27081.67,93334655.9
USDT_BTC,1609099200,27095.18,26174.58,27081.98,26223.51,167120732.6
USDT_BTC,1609102800,26512,25700,26219.88,26400.97,216225729.9
USDT_BTC,1609106400,26699.99,26263.2,26404.45,26521.14,84137792.71
USDT_BTC,1609110000,26713.96,26219,26521.14,26281.66,98871908.97
USDT_BTC,1609113600,26976,26101,26281.54,26877.7,142674545.5
USDT_BTC,1609117200,27356.3,26800.01,26877.69,27062,144092510.4
USDT_BTC,1609120800,27169.64,26910.27,27060.42,27085,70402704.16
USDT_BTC,1609124400,27290,26918.51,27082.52,27275.65,66317972.19
USDT_BTC,1609128000,27332,26848.57,27275.66,26864.11,63829911.97
USDT_BTC,1609131600,27153.9,26798.94,26864.1,26942.62,73431496.89
